osm_id,name,amenity,cuisine,price_per_person,rating,lat,lon,address,kb_text
node/379894336,Hungry Jack's,fast_food,burger,$1-20,3.6,-37.8288816,144.9639559,"(-37.82888, 144.96396)","Hungry Jack's is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 3.6/5. Address: (-37.82888, 144.96396)."
node/415276361,Capricho,restaurant,chicken;grill, $20-40 ,2.9,-37.818113,144.948094,"(-37.81811, 144.94809)","Capricho is a restaurant in Melbourne (CBD) offering Chicken, Grill. Average spend is about $30 per person (range $20-40). Rated 2.9/5. Address: (-37.81811, 144.94809)."
node/441172500,Puzzle Coffee,cafe,coffee_shop,$1-20,4,-37.8190192,144.953659,"(-37.81902, 144.95366)","Puzzle Coffee is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.81902, 144.95366)."
node/469736829,The Bond Store,cafe,deli,$20-40,4.3,-37.8217545,144.9639586,"(-37.82175, 144.96396)","The Bond Store is a cafe in Melbourne (CBD) offering Deli. Average spend is about $30 per person (range $20-40). Rated 4.3/5. Address: (-37.82175, 144.96396)."
node/553816167,Wild Bean Cafe,cafe,coffee_shop,$1-20,4,-37.8276047,144.9578222,"(-37.82760, 144.95782)","Wild Bean Cafe is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.0/5. Address: (-37.82760, 144.95782)."
node/570616542,Espresso Bar International,cafe,coffee_shop,$1-20,4.3,-37.8191459,144.9551442,"(-37.81915, 144.95514)","Espresso Bar International is a cafe in Melbourne (CBD) offering Coffee_Shop. Average spend is about $10 per person (range $1-20). Rated 4.3/5. Address: (-37.81915, 144.95514)."
node/591284647,Lucky Chan,restaurant,chinese,$40-60,3.5,-37.8231279,144.9575576,"(-37.82313, 144.95756)","Lucky Chan is a restaurant in Melbourne (CBD) offering Chinese. Average spend is about $50 per person (range $40-60). Rated 3.5/5. Address: (-37.82313, 144.95756)."
node/591294592,Subway,fast_food,sandwich,$1-20,2.8,-37.8166258,144.9668517,"(-37.81663, 144.96685)","Subway is a fast_food in Melbourne (CBD) offering Sandwich. Average spend is about $10 per person (range $1-20). Rated 2.8/5. Address: (-37.81663, 144.96685)."
node/591372262,Flora,restaurant,indian,$20-40,3.9,-37.8175372,144.9665144,"(-37.81754, 144.96651)","Flora is a restaurant in Melbourne (CBD) offering Indian. Average spend is about $30 per person (range $20-40). Rated 3.9/5. Address: (-37.81754, 144.96651)."
node/591382454,KFC,fast_food,chicken,$1-20,3.4,-37.8173513,144.9648136,"(-37.81735, 144.96481)","KFC is a fast_food in Melbourne (CBD) offering Chicken. Average spend is about $10 per person (range $1-20). Rated 3.4/5. Address: (-37.81735, 144.96481)."
node/591887778,Rocket Burgers and Fries,fast_food,burger,$1-20,4.1,-37.8179913,144.9650732,"(-37.81799, 144.96507)","Rocket Burgers and Fries is a fast_food in Melbourne (CBD) offering Burger. Average spend is about $10 per person (range $1-20). Rated 4.1/5. Address: (-37.81799, 144.96507)."
